biased_fraction,n_agents,seed,m_bar
0.0,16,0,-0.01799476024542235
0.0,16,1,-0.03136929626818598
0.0,16,2,0.0325390000988314
0.0,16,3,0.007580628494807887
0.0,16,4,-0.0479159062504354
0.0,16,5,-0.06137844670299562
0.0,16,6,-0.05898856236873075
0.0,16,7,-0.0023456674355127635
0.0,16,8,0.07145259936856617
0.0,16,9,0.022942782576992435
0.0,24,0,-0.03331357660108104
0.0,24,1,0.010836617895968653
0.0,24,2,-0.025199605127127322
0.0,24,3,-0.02076363335416618
0.0,24,4,0.017007771028627144
0.0,24,5,-0.010579829764991947
0.0,24,6,0.04610045768149807
0.0,24,7,-0.0021022226396813157
0.0,24,8,0.025944295698272203
0.0,24,9,0.004690767458871845
0.0,32,0,-0.018777379763097395
0.0,32,1,-0.004304571118619763
0.0,32,2,0.007185341251490082
0.0,32,3,0.028743358596700283
0.0,32,4,0.030416630486566894
0.0,32,5,0.0425084801594304
0.0,32,6,0.050097989760177146
0.0,32,7,0.008258366367886521
0.0,32,8,-0.06492498093220248
0.0,32,9,-0.04786125225764281
0.25,16,0,0.05966498032759521
0.25,16,1,0.15699060085741567
0.25,16,2,0.15875708131572694
0.25,16,3,0.12608551408412821
0.25,16,4,0.19840258450034418
0.25,16,5,0.18143296324432012
0.25,16,6,0.2394867844098774
0.25,16,7,0.11993661714875395
0.25,16,8,0.11846581132366214
0.25,16,9,0.28920272190574986
0.25,24,0,0.11243591719410459
0.25,24,1,0.13130342017232
0.25,24,2,0.1916967726064049
0.25,24,3,0.1804961297154965
0.25,24,4,0.25758737303179136
0.25,24,5,0.1360809337368374
0.25,24,6,0.1666484056368988
0.25,24,7,0.09701863132896889
0.25,24,8,0.1773425000513144
0.25,24,9,0.2085482572349014
0.25,32,0,0.1269863692036007
0.25,32,1,0.10365922055115799
0.25,32,2,0.12477444332021427
0.25,32,3,0.1310430252849848
0.25,32,4,0.2077068795693127
0.25,32,5,0.09531599384596358
0.25,32,6,0.14909952891458855
0.25,32,7,0.20856339309980276
0.25,32,8,0.2438250525302721
0.25,32,9,0.1594518048395949
0.45,16,0,0.17920876308363365
0.45,16,1,0.24050127449271055
0.45,16,2,0.16990206981121223
0.45,16,3,0.31085138089946784
0.45,16,4,0.4528013994467217
0.45,16,5,0.32392059588001565
0.45,16,6,0.27110560733970757
0.45,16,7,0.2511501686738002
0.45,16,8,0.1987239494771559
0.45,16,9,0.3786958284681131
0.45,24,0,0.23291282971322563
0.45,24,1,0.2311035252993365
0.45,24,2,0.29727714035995667
0.45,24,3,0.2914417902890721
0.45,24,4,0.28130350894905887
0.45,24,5,0.24264485720358925
0.45,24,6,0.27822166588036334
0.45,24,7,0.16306688370664027
0.45,24,8,0.37521447378923223
0.45,24,9,0.31959669044654193
0.45,32,0,0.2884629032476443
0.45,32,1,0.16429938286830753
0.45,32,2,0.2904473025321288
0.45,32,3,0.2889819586242474
0.45,32,4,0.3287560816630828
0.45,32,5,0.13750848294405982
0.45,32,6,0.1864287534418547
0.45,32,7,0.2742045192159802
0.45,32,8,0.3411605694193187
0.45,32,9,0.3219215811936301
0.7,16,0,0.47282083604755265
0.7,16,1,0.4942473470250229
0.7,16,2,0.3124844636046816
0.7,16,3,0.4036138044590789
0.7,16,4,0.5935717404788462
0.7,16,5,0.47693514786500024
0.7,16,6,0.488004214715907
0.7,16,7,0.5085982607324167
0.7,16,8,0.38263641758596695
0.7,16,9,0.503089538123916
0.7,24,0,0.3987396431873102
0.7,24,1,0.4129464119984061
0.7,24,2,0.4352317449175122
0.7,24,3,0.37584339695944907
0.7,24,4,0.3700096486014327
0.7,24,5,0.2574609875847855
0.7,24,6,0.3473940345637755
0.7,24,7,0.3204521892855103
0.7,24,8,0.4024368179067964
0.7,24,9,0.42515833484846116
0.7,32,0,0.4060029076201358
0.7,32,1,0.36526492115124054
0.7,32,2,0.41722688943106734
0.7,32,3,0.4569431645243617
0.7,32,4,0.40403124216512015
0.7,32,5,0.32498447980298495
0.7,32,6,0.3570707378386162
0.7,32,7,0.4075979777728653
0.7,32,8,0.45094955045588136
0.7,32,9,0.4409028933744266
1.0,16,0,0.557955038128077
1.0,16,1,0.6321151132929183
1.0,16,2,0.6150661220659129
1.0,16,3,0.6509449486247856
1.0,16,4,0.6232298791250355
1.0,16,5,0.6228106422242577
1.0,16,6,0.6028140680635877
1.0,16,7,0.6170862961538045
1.0,16,8,0.6378573835085996
1.0,16,9,0.5851145110371905
1.0,24,0,0.5784916180242887
1.0,24,1,0.5585511133537019
1.0,24,2,0.5939900854877351
1.0,24,3,0.5763952280200598
1.0,24,4,0.5461652162380042
1.0,24,5,0.5866553166109965
1.0,24,6,0.5358133452165864
1.0,24,7,0.5725427961274258
1.0,24,8,0.5964080411230978
1.0,24,9,0.6060932222236892
1.0,32,0,0.5069905601516569
1.0,32,1,0.5179150326570645
1.0,32,2,0.5588509987390912
1.0,32,3,0.5521202451178374
1.0,32,4,0.5128241808966864
1.0,32,5,0.52727633933058
1.0,32,6,0.5084739774765128
1.0,32,7,0.5098075321851465
1.0,32,8,0.533839215960172
1.0,32,9,0.5720346144201661
