model,seed,m_bar
SocialForceModel,0,-0.0021186676598487857
SocialForceModel,1,-0.0400328141356397
SocialForceModel,2,-0.03779614716218004
SocialForceModel,3,-0.021893487103902532
SocialForceModel,4,-0.06604087735319865
SocialForceModel,5,0.05332440644306744
SocialForceModel,6,0.027499599980272262
SocialForceModel,7,-0.013769983381232755
SocialForceModel,8,0.039593824232170824
SocialForceModel,9,0.033827184967191
WarpDriverModel,0,-0.02151149512417515
WarpDriverModel,1,-0.10415713624061479
WarpDriverModel,2,-0.06051662762605661
WarpDriverModel,3,-0.05165757935056613
WarpDriverModel,4,-0.043168635915255896
WarpDriverModel,5,0.010275956746404176
WarpDriverModel,6,-0.029414829233708938
WarpDriverModel,7,0.012246318655614588
WarpDriverModel,8,-0.07360157891937559
WarpDriverModel,9,0.039653918094366095
CollisionFreeSpeedModel,0,-0.05172813437730073
CollisionFreeSpeedModel,1,-0.07664961267574615
CollisionFreeSpeedModel,2,-0.043519876579569336
CollisionFreeSpeedModel,3,0.034994873669168
CollisionFreeSpeedModel,4,-0.013591165173768531
CollisionFreeSpeedModel,5,0.02605900628559354
CollisionFreeSpeedModel,6,0.01406531090871037
CollisionFreeSpeedModel,7,0.043903928998340815
CollisionFreeSpeedModel,8,0.018687040816236226
CollisionFreeSpeedModel,9,-0.03190211897511393
AnticipationVelocityModel,0,-0.03331357660108104
AnticipationVelocityModel,1,0.010836617895968653
AnticipationVelocityModel,2,-0.025199605127127322
AnticipationVelocityModel,3,-0.02076363335416618
AnticipationVelocityModel,4,0.017007771028627144
AnticipationVelocityModel,5,-0.010579829764991947
AnticipationVelocityModel,6,0.04610045768149807
AnticipationVelocityModel,7,-0.0021022226396813157
AnticipationVelocityModel,8,0.025944295698272203
AnticipationVelocityModel,9,0.004690767458871845
